Game_Date,Game_Time,Length,Home_Runs,Wins,Replay_Reviews,Strikeout_Side,Four_Pitch_Walk,Triples,Seven_Or_More_Runs,Five_Or_More_Runs,Three_Or_More_Runs,Bunts,Stolen_Bases,Doubles,Double_Plays,Save,Caught_Stealing,Pitcher_Pickoff,Hits,Runs,Walks,Strikeouts,Runs_Batted_In,Assists
2024-07-29,16:10:00,2.78,2,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0,10,7,2,9,6,8
2024-07-30,16:10:00,2.82,1,1,1,0,0,0,1,1,1,0,2,3,0,0,0,0,10,10,3,8,8,7
2024-07-31,13:10:00,3.19,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,2,5,7,2,4
2024-08-02,18:40:00,2.52,4,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,9,10,6,8,10,10
2024-08-03,18:40:00,3.28,1,1,0,0,1,0,0,1,1,0,0,3,0,0,0,0,8,6,6,12,6,10
2024-08-04,13:10:00,2.59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,9,0,8
2024-08-06,18:40:00,2.51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,2,2,14,2,9
2024-08-07,18:40:00,2.56,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,2,9,2,8
2024-08-08,18:40:00,2.33,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,4,3,11,4,9
2024-08-09,19:10:00,2.52,1,1,0,0,0,0,0,1,1,0,3,0,1,0,0,0,6,6,4,9,6,9
2024-08-10,18:40:00,2.46,0,1,0,0,1,0,0,0,1,0,2,3,1,0,0,0,6,4,7,6,4,13
2024-08-11,16:10:00,2.69,3,1,0,1,2,0,1,1,1,1,0,3,1,0,0,0,12,12,7,13,11,4
2024-08-13,15:40:00,2.46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,6,1,12
2024-08-14,15:40:00,2.95,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,2,4,9,2,9
2024-08-15,10:10:00,2.41,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,5,10,1,5
2024-08-16,15:40:00,2.64,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,3,4,9,3,7
2024-08-17,10:05:00,2.79,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,8,2,1,9,2,8
2024-08-18,10:35:00,2.76,3,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,13,10,3,5,8,9
2024-08-19,19:10:00,2.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,6,0,8
2024-08-20,19:10:00,3.19,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,8,3,4,9,3,6
2024-08-21,19:10:00,2.79,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,4,2,10,4,6
2024-08-23,19:10:00,3.08,1,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,8,6,8,18,6,3
